#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
320.52778	5433.151367	527.885879481	202.683254339	183.558453271	41.19873047	6.4637109
320.53125	3049.576172	621.843385285	250.794513599	207.367725049	42.293293	6.447891
320.53472	3299.339111	616.361369625	244.593069368	212.097063065	42.34619141	7.91
320.53819	5516.637695	539.896520073	206.991942031	180.851588977	41.81315231	7.91
320.54167	5255.544922	548.526363933	208.954044219	186.189951347	39.75830078	7.7
320.54514	3229.075684	628.940370874	251.94358458	209.006059211	40.41748047	7.7
320.54861	5409.183105	547.260982524	210.576944731	183.325087928	42.578125	7.7
320.55208	5522.927734	550.672239508	209.263201625	190.908870836	43.77441406	7.7
320.55556	3163.280273	658.485513934	257.821592728	223.840195294	44.28710938	7.7
320.55903	3194.937256	681.562903491	268.224416172	211.965862455	42.34212112	7.7
320.5625	5402.425781	564.31767122	210.187162554	199.858775999	41.62597656	7.7
320.56597	5192.879883	561.03475621	215.740792673	186.024629739	41.23535156	7.7
320.56944	3029.022949	682.789309657	274.646904871	233.687579245	41.3513183575	7.7
320.57292	5362.844727	555.562441593	217.634546195	186.879489941	41.467285155	7.7
320.57639	5230.192383	637.256112702	209.170121929	201.316916531	41.5832519525	7.7
320.57986	3205.179199	673.74584024	257.744688946	249.19958485	41.69921875	7.7
320.58333	5560.529297	567.243099472	213.623013763	205.155919609	41.08886719	7.28
320.58681	5395.961914	584.194538113	222.425839577	213.777642391	41.35742188	7.28
320.59028	5257.68457	598.37307429	226.698091276	209.577608973	43.61572266	7.28
320.59375	3202.233887	705.118108262	280.848488332	236.226205076	44.87304688	7.28
320.59722	5794.989258	593.418239383	224.139911689	208.526062374	45.78857422	7.28
320.60069	5608.505371	613.839898004	231.502297199	218.14949818	44.921875	7.28
320.60417	4919.571777	626.616353859	236.942209726	222.730180092	42.87109375	7.28
320.60764	4906.608398	627.600479558	237.585859608	217.910009871	43.14778519	7.28
320.61111	4960.906738	638.676279497	239.47629065	232.610702508	44.94628906	7.28
320.61458	5058.014648	622.074990553	235.887245758	231.381102353	46.36230469	7.28
320.61806	5029.497559	616.313447687	231.992362186	215.940847233	46.3948555	7.28
320.62153	5361.906738	618.123065129	233.322285723	219.720395759	46.11816406	7.28
320.625	5373.345703	615.518769977	230.943807647	223.038063511	44.50683594	7.14
320.62847	5083.330566	628.022700999	236.262762607	226.442797413	44.10400391	7.14
320.63194	5513.87207	614.463173036	231.518286124	216.562427079	44.52514648	7.14
320.63542	5246.512207	660.44286913	239.084236287	222.238975825	46.96044922	7.14
320.63889	5524.726074	622.568574825	232.445028229	229.347877098	46.99707031	7.14
320.64236	5673.264648	625.039460951	232.296860328	227.994123844	45.67871094	7.14
320.64583	5234.834473	631.876342352	230.287162075	234.247758188	44.26269531	7.14
320.64931	5255.61084	628.382116965	228.319631082	235.089515139	43.65234375	7.14
320.65278	5389.233398	640.372913646	235.029936548	248.847643615	45.16601563	7.14
320.65625	5384.094727	620.633050037	229.343085707	227.912823904	46.484375	7.14
320.65972	5420.120605	613.780770066	225.159185447	225.89589707	46.60644531	7.14
320.66319	5488.893555	602.534942316	225.27341691	213.556242911	46.41113281	7.14
320.66667	5454.371582	595.061824138	218.527840147	216.477835891	45.17415237	7.14
320.67014	5352.745605	585.522206078	219.466335266	207.152248559	43.53027344	7.14
320.67361	5395.047852	593.65237139	219.986337197	221.03865922	43.32275391	7.14
320.67708	5462.445801	593.368431354	221.671264897	209.887927611	45.51594925	7.14
320.68056	5416.773926	597.888927059	221.972563974	215.179684779	45.38574219	7.14
320.68403	5897.536621	599.129501833	220.033988925	218.391087026	45.67871094	7.14
320.6875	5621.915527	591.673420182	225.03439993	205.676342285	44.45800781	7.14
320.69097	5538.532227	579.652194078	221.728447107	198.340785402	43.23730469	7.14
320.69444	5529.69873	577.782877733	220.394211632	204.10749265	43.57910156	7.14
320.69792	5817.194336	565.192901608	215.188933685	193.935023654	45.05615234	7.14
320.70139	5632.759277	557.164394303	213.617583126	190.083945396	45.00325394	7.14
320.70486	5663.781738	563.324129974	213.897840371	195.062539577	45.38574219	7.14
320.70833	5646.354004	568.745042574	217.369356103	197.026404469	45.14160156	7.14
320.71181	5625.975586	567.622937493	217.788212294	195.408917997	42.26074219	7.14
320.71528	5574.920898	566.807735809	214.231663874	198.389108425	43.13964844	7.14
320.71875	5762.214844	568.992496771	210.001093594	206.961615609	44.75097656	7.14
320.72222	5783.787109	561.017554866	215.584432722	190.560561628	44.58007813	7.14
320.72569	5476.032715	559.759943375	209.54493627	194.284587774	44.11621094	7.14
320.72917	5601.523926	549.735562676	213.034875431	182.213525336	43.79882813	7.14
320.73264	5645.733398	547.247562091	209.428322467	190.007065958	41.77246094	7.14
320.73611	5596.567383	552.095548477	217.35266799	187.509314603	41.02783203	7.14
320.73958	5638.301758	537.420316573	210.518836261	178.181086004	40.77758789	7.14
320.74306	5579.004395	524.783515863	209.601214985	168.651766169	43.31054688	7.14
320.74653	5594.195313	529.580547989	208.721141362	176.16941387	43.26171875	7.14
320.75	5658.066406	538.455285342	211.209291624	181.48762879	42.70019531	7.42
320.75347	5537.593262	537.052878393	209.139780774	182.639907939	40.89355469	7.42
320.75694	5630.012695	531.516406462	207.693035651	176.078678472	39.77050781	7.42
320.76042	5427.88623	527.165691036	206.023344945	175.253002312	41.74804688	7.42
320.76389	5534.519531	525.104870132	207.720287091	173.571385524	42.3828125	7.42
320.76736	5305.023438	528.814382894	208.142519076	176.044924714	42.01660156	7.42
320.77083	5541.166992	514.329657084	202.289071437	167.674707555	41.69921875	7.42
320.77431	5496.64502	520.980705301	209.588485613	166.914599239	39.2578125	7.42
320.77778	5427.344727	523.251208553	207.458543327	171.411894036	38.92822266	7.42
320.78125	5502.315918	528.415821589	207.4159566	176.178512464	38.98925781	7.42
320.78472	5465.255859	521.764961859	212.461922376	166.642511797	41.04003906	7.42
320.78819	5339.348633	515.530386415	206.595104348	166.29149995	41.45507813	7.42
320.79167	5556.1875	511.899393202	208.21518282	158.82556567	41.04003906	7.49
320.79514	5310.974121	515.134217375	205.65591789	163.978334204	39.08691406	7.49
320.79861	5447.262207	517.802553935	210.680592696	163.965140162	38.69628906	7.49
320.80208	5303.98877	535.2935588	213.703583783	176.866425111	39.22119141	7.49
320.80556	5382.881836	535.291538963	211.405058851	170.688795276	40.34830856	7.49
320.80903	5437.415039	523.439149953	209.217258959	172.967277489	41.30859375	7.49
320.8125	5347.638184	532.084791684	212.834289993	173.012474064	41.77246094	7.49
320.81597	5492.236328	528.906856951	210.713607623	181.390051517	40.11230469	7.49
320.81944	5405.051758	545.000485076	208.330043279	189.35262141	39.03808594	7.49
320.82292	5435.717773	537.406759322	213.395526283	177.398853562	39.95361328	7.49
320.82639	5488.307617	522.236571488	208.819454793	171.837721006	41.62597656	7.49
320.82986	5327.610352	533.41601715	212.482954422	175.225037435	42.13867188	7.49
320.83333	5361.740723	544.057074106	213.048639684	187.167485543	42.08984375	7.2435455
320.83681	5357.478027	544.432881747	216.124112122	179.304276834	40.73486328	7.21
320.84028	5331.445313	538.532301263	212.94335818	180.969153766	40.13671875	7.21
320.84375	5337.535156	537.541528608	217.864814346	170.291084	39.73388672	7.21
320.84722	5342.51123	539.438294679	212.817029527	178.917478295	42.23632813	7.21
320.85069	5318.439453	559.571914259	214.147234182	180.100037098	42.21191406	7.21
320.85417	5329.331543	545.996811648	215.024247251	182.222374994	41.45507813	7.21
320.85764	5169.296387	543.664072649	216.972403795	174.46126349	40.22216797	7.21
320.86111	5065.847656	550.017725231	218.196169618	182.407760941	38.90380859	7.21
320.86458	5240.814453	540.725733223	217.921750165	172.884834937	38.64746094	7.21
320.86806	5146.327637	555.518513295	226.826859902	185.258886901	41.12955856	7.21
320.87153	5125.21582	554.529970898	226.959224622	176.921806822	42.07763672	7.21
320.875	5125.141113	555.219336441	225.639269889	175.74567158	41.84570313	7.0
320.87847	5258.670898	554.829796853	223.5383467	178.519856072	40.33203125	7.0
320.88194	5228.141602	568.165825655	226.663601293	193.033655193	39.35546875	7.0
320.88542	4805.852539	564.594940401	223.249662002	186.688836209	38.74511719	7.0
320.88889	5182.416016	548.131189581	216.692971586	182.846867652	39.79492188	7.0
320.89236	5087.896484	555.538186841	223.997608535	185.926236516	40.86914063	7.0
320.89583	5257.296875	555.890031297	218.626588341	186.520022057	41.72363281	7.0
320.89931	5250.831055	554.643028418	220.499720912	188.810937736	41.384277342	7.0
320.90278	5141.655762	558.705694313	219.118215906	187.243596519	41.044921874	7.0
320.90625	5110.395996	556.770220523	221.803416459	180.166880515	40.705566406	7.0
320.90972	5051.924316	560.042760112	222.62997084	185.617929478	40.366210938	7.0
320.91319	4992.064453	553.937514455	223.273940285	183.023412706	40.02685547	7.0
320.91667	5164.993164	572.406081034	219.475837002	201.225140651	40.75927734	6.86
320.92014	5043.76709	567.719926088	220.820527338	185.265178452	39.37988281	6.86
320.92361	5201.733398	569.1088257	216.942443616	195.126575262	38.50097656	6.86
320.92708	5104.145508	576.936110518	221.507791835	195.197863822	38.62304688	6.86
320.93056	5000.001465	575.509134847	227.020620042	200.043006289	40.29541016	6.86
320.93403	5099.184082	570.955474867	224.571283984	193.11848019	41.23535156	6.86
320.9375	4995.975586	569.338441098	222.467340752	192.806338505	40.60058594	6.86
320.94097	5026.717773	572.890547519	220.27559849	196.95675474	40.1184082	6.86
320.94444	5145.650879	568.688538561	214.211207304	203.752723801	38.65559769	6.86
320.94792	4864.45459	572.9761122	227.482732625	196.010734876	38.50708008	6.86
320.95139	4635.391113	593.787572817	225.345555589	191.874851583	40.34830856	6.86
320.95486	3082.286865	529.74633763	190.139006921	202.619967949	41.69921875	6.86
320.95833	5255.207031	560.489829519	218.100777026	190.72119943	41.47949219	6.86
320.96181	5331.272461	562.582271162	224.698670141	184.927954555	41.38183594	6.86
320.96528	5202.927246	571.931396358	221.370319688	195.382689015	39.81933594	6.86
320.96875	5322.200195	567.337411685	222.321890845	192.303182602	40.02685547	6.86
320.97222	5274.393555	570.747824793	225.606176691	188.359122419	41.27807617	6.86
320.97569	5247.265137	573.075423413	223.790962783	196.012038335	42.07763672	6.86
320.97917	5121.777832	570.480721734	219.912525362	200.013561184	41.74804688	6.86
320.98264	5163.143066	570.289885776	223.765989987	191.851626166	40.88541794	6.86
320.98611	5002.19873	561.064182513	218.26466884	189.012924709	39.12353516	6.86
320.98958	2613.067627	512.935947936	180.858989781	204.773693479	38.85091019	6.86
320.99306	5278.392578	562.972326143	220.27229889	188.388403198	39.88037109	6.86
320.99653	5175.48877	559.726741446	221.862812032	186.777851817	40.85693359	6.86
321.0	5171.813477	564.967469134	219.852139853	188.938604656	41.87011719	7.0
321.00347	5034.807617	569.159568647	224.767649437	191.644978555	40.67382813	7.0
321.00694	4983.007324	582.179686117	223.976188689	200.769794715	39.0625	7.0
321.01042	4831.124512	580.314728281	229.998156205	192.338835711	38.72070313	7.0
321.01389	4788.521973	581.59184619	225.0772191	197.593359576	39.04622269	7.0
321.01736	2584.934326	511.574793563	177.315392245	201.562205834	40.66569138	7.0
321.02083	5059.078613	558.51493154	220.809750586	187.06942963	40.49479294	7.0
321.02431	5153.416992	551.44562488	218.746413525	181.081700545	40.18554688	7.0
321.02778	5281.306641	539.695917268	213.508361035	178.353439071	39.79492188	7.0
321.03125	5230.130859	545.08493469	213.840278584	187.947561648	38.59863281	7.0
321.03472	4909.382324	547.892231253	222.01363963	175.880523268	38.70442581	7.0
321.03819	2887.343262	475.173781173	163.070563806	186.271084648	39.6484375	7.0
321.04167	5163.170898	537.157295036	220.351699487	172.910191119	40.20996094	6.93
321.04514	5115.835449	559.828797528	220.03678889	211.10770996	41.08886719	6.93
321.04861	4880.395996	565.91463375	230.21307021	181.433592012	39.01367188	6.93
321.05208	5002.019531	569.441947186	225.728996433	191.233160359	38.89160156	6.93
321.05556	5166.211914	555.966020999	224.721395648	180.450391368	37.96386719	6.93
321.05903	2370.521484	509.612805983	180.913685376	192.596206769	40.0390625	6.93
321.0625	5186.602051	557.080609669	224.981351302	179.02636326	40.18554688	6.93
321.06597	4999.983398	559.050183515	226.724982947	185.353877139	40.69824219	6.93
321.06944	5027.116699	561.459363075	228.001151358	180.113798597	40.234375	6.93
321.07292	4776.993164	557.075433644	224.220435261	197.382619884	38.24869919	6.93
321.07639	2248.321045	507.283119893	179.173090915	283.736256427	37.71972656	6.93
321.07986	4952.393066	554.631106646	217.103704418	244.625577208	38.68408203	6.93
321.08333	4681.749023	567.923010949	216.462790379	254.800990268	40.75927734	6.86
321.08681	4709.260254	650.06908366	216.219488193	272.809267885	40.50292969	6.86
321.09028	4923.49707	642.414007063	210.387261525	311.776071532	39.80102539	6.86
321.09375	2582.085449	659.291626126	159.578222027	487.275206617	38.36262894	6.86
321.09722	5163.45166	609.655879728	210.892552162	307.953992471	37.76855469	6.86
321.10069	5075.07959	653.297433522	206.992073126	311.661799623	38.20800781	6.86
321.10417	4682.751465	584.297887405	207.552747015	304.971000881	39.66064453	6.86
321.10764	4769.708008	593.356524193	212.66055881	324.154220188	39.52636719	6.86
321.11111	2631.005615	632.694623079	163.216074737	522.272633886	40.16113281	6.86
321.11458	5057.474121	591.93383245	211.596908008	358.329012785	37.45117188	6.86
321.11806	4826.996094	665.61061694	225.61871626	346.434659439	36.73095703	6.86
321.12153	4888.069824	665.313620161	218.235346526	369.89627798	36.5234375	6.86
321.125	2158.500732	674.855619961	173.319339805	505.671229887	38.79394531	6.93
321.12847	2219.512451	1135.28771178	384.303146561	609.020399113	39.02587891	6.93
321.13194	4785.869141	649.838772476	217.55118023	364.707524489	39.03808594	6.93
321.13542	4729.468262	636.525496798	209.788530922	347.532678729	38.03710938	6.93
321.13889	2183.770264	680.290024338	173.220398697	546.566220817	36.81640625	6.93
321.14236	2220.884766	652.092903332	168.832559019	516.667810349	36.59667969	6.93
321.14583	5044.35498	577.794293114	202.693960786	306.640472683	38.37890625	6.93
321.14931	4598.902344	591.908926284	215.097636685	330.285531494	38.23242188	6.93
321.15278	2066.118408	747.1416512	160.541186318	652.665931949	38.69018555	6.93
321.15625	2145.491943	735.215288392	168.759044301	637.613296961	38.11035156	6.93
321.15972	4778.831055	621.656499275	211.001802154	359.39116885	36.29150391	6.93
321.16319	4592.737305	613.939731341	203.254947254	343.597590809	36.08398438	6.93
321.16667	2131.093262	697.179308275	167.397171275	588.637488746	37.6953125	6.79
321.17014	2080.014404	686.187457836	170.448307302	524.538846334	38.73698044	6.79
321.17361	4553.294434	578.912945393	206.19615132	294.289040929	38.79394531	6.79
321.17708	4572.203125	574.007710325	206.830756423	288.833498508	38.37890625	6.79
321.18056	2123.332275	696.293164683	171.140766121	472.345317742	36.29557419	6.79
321.18403	2053.010986	666.998129551	173.565408385	472.377657335	35.91308594	6.79
321.1875	4633.61084	566.239647508	203.145122165	292.24352046	36.71875	6.79
321.19097	4649.60791	556.577742668	210.95162853	292.459564406	36.71061325	6.79
321.19444	2074.831787	641.241835465	162.830628223	499.72839776	36.66992188	6.79
321.19792	2114.705322	581.978362898	169.631282365	495.440151362	36.69433594	6.79
321.20139	4489.857422	545.879424177	208.350430851	281.618149129	36.70654297	6.79
321.20486	4724.596191	546.359838123	205.663998964	294.301638625	36.69433594	6.79
321.20833	1893.928101	664.597996987	158.468519638	464.197639714	36.69704819	6.58
